1,Aomi Urban Sports Park,7100
2,Yumenoshima Park Archery Field,5600
3,Ariake Gymnastics Centre,12000
4,Tokyo Aquatics Centre,15000
5,Olympic Stadium,68000
6,Sapporo Odori Park,
7,Musashino Forest Sport Plaza,7200
8,Fukushima Azuma Baseball Stadium,14300
9,Yokohama Baseball Stadium,35000
10,Saitama Super Arena,21000
11,Shiokaze Park,12000
12,Kokugikan Arena,7300
13,Kasai Canoe Slalom Centre,7500
14,Sea Forest Waterway,12800
15,Ariake Urban Sports Park,6600
16,Ariake Urban Sports Park,5000
17,Izu MTB Course,11500
18,Musashinonomori Park,
19,Fuji International Speedway,22000
20,Izu Velodrome,3600
21,Equestrian Park,9300
22,Sea Forest Cross-Country Course,16000
23,Makuhari Messe,8000
24,Olympic Stadium,68000
25,Tokyo Stadium,48000
26,Sapporo Dome,41000
27,Miyagi Stadium,49000
28,Ibaraki Kashima Stadium,40000
29,Saitama Stadium,63700
30,International Stadium Yokohama,72000
31,Kasumigaseki Country Club,25000
32,Yoyogi National Stadium,10200
33,Oi Hockey Stadium,15000
34,Nippon Budokan,11000
35,Odaiba Marine Park,5500
36,Musashino Forest Sport Plaza,7200
37,Sea Forest Waterway,16000
38,Tokyo Stadium,48000
39,Enoshima Yacht Harbour,3600
40,Asaka Shooting Range,3200
41,Ariake Urban Sports Park,7000
42,Aomi Urban Sports Park,8400
43,Tsurigasaki Surfing Beach,6000
44,Tokyo Metropolitan Gymnasium,7000
45,Makuhari Messe,10000
46,Ariake Tennis Park,
47,Ariake Arena,15000
48,Tatsumi Water Polo Centre,4700
49,Tokyo International Forum,5000
